Site,Treatment,Rep,Sample_Date,Season,Current_crop,Previous_crop,Crop_Stage,avgCoverCrop_Biomass,avgBiomass_Total,sumWeed_Density,totSeeds_Weeds,Total_Species,avgBiomass_Pigweed,sumPigweed_Density,totSeeds_Pigweed,avgBiomass_Grass,sumGrass_Density,totSeeds_Grasses,avgBiomass_Broadleaf,sumBroadleaf_Density,totSeeds_Otherbroad,avgMoisture,avgTemperature,FieldType
SCAL,Cereal Rye,1,5/27/2021,Early,Corn,Soybean,V3,29.4285026,0.422533333,408,43,9,0.401466667,372,25,0.005066667,16,0,0.016,20,18,45.46666667,39.6,Research Station
SCAL,Cereal Rye,1,7/2/2021,Late,Corn,Soybean,V10,29.4285026,0.7864,24,43,9,0.0696,4,25,0.6228,12,0,0.094,8,18,34.86666667,29.76666667,Research Station
SCAL,Cereal Rye,2,5/27/2021,Early,Corn,Soybean,V3,30.0205171,0.528533333,400,51,6,0.443866667,380,25,0.006933333,4,0,0.077733333,16,26,42.36666667,28.33333333,Research Station
SCAL,Cereal Rye,2,7/2/2021,Late,Corn,Soybean,V10,30.0205171,1.058,28,51,6,0.410666667,8,25,0.4732,8,0,0.174133333,12,26,27.4,28.7,Research Station
SCAL,Cereal Rye,3,5/27/2021,Early,Corn,Soybean,V3,34.7028136,0.541066667,488,10,3,0.541066667,488,7,0,0,0,0,0,3,45.26666667,22.23333333,Research Station
SCAL,Cereal Rye,3,7/2/2021,Late,Corn,Soybean,V10,34.7028136,10.982,396,10,3,10.97973333,388,7,0,0,0,0.002266667,8,3,42.16666667,22.73333333,Research Station
SCAL,Hairy Vetch,1,5/27/2021,Early,Corn,Soybean,V3,23.357663,0.7764,388,19,6,0.542666667,360,8,0,0,0,0.233733333,28,11,41.7,35.6,Research Station
SCAL,Hairy Vetch,1,7/2/2021,Late,Corn,Soybean,V10,23.357663,6.787866667,228,19,6,4.545333333,128,8,0,0,0,2.242533333,100,11,25.33333333,27.9,Research Station
SCAL,Hairy Vetch,2,5/27/2021,Early,Corn,Soybean,V3,5.6833392,1.1752,344,35,4,0.8488,304,19,0,0,0,0.3264,40,16,41,29.9,Research Station
SCAL,Hairy Vetch,2,7/2/2021,Late,Corn,Soybean,V10,5.6833392,0.452,112,35,4,0.332266667,24,19,0,4,0,0.119733333,84,16,21.73333333,26.26666667,Research Station
SCAL,Hairy Vetch,3,5/27/2021,Early,Corn,Soybean,V3,5.4788251,0.6696,596,54,6,0.6696,588,19,0,0,0,0,8,35,47.53333333,31.4,Research Station
SCAL,Hairy Vetch,3,7/2/2021,Late,Corn,Soybean,V10,5.4788251,4.880933333,92,54,6,4.785733333,72,19,0,0,0,0.0952,20,35,37.8,25.56666667,Research Station
